Screen name,Latvian,Russian,English,Total
dontdieelliot,2,2912,30,2944
pimpin_is_hard,1,2891,11,2903
@@MEDIA,2809,1,14,2824
AValdbergs,2177,7,6,2190
IlzeJaunberga,2015,,19,2034
rutenbergsdaini,1996,4,12,2012
@@LSM,1860,,,1860
LaukuDraiskule,1806,2,14,1822
pArt07,1483,2,4,1489
vigo_alex1976,,1453,,1453
@@LSM-TV,1404,,,1404
dzimmijs13,1373,10,7,1390
@ltvzinas,1384,,,1384
gorskis_intars,1305,,63,1368
io7246,1180,,15,1195
HotelsScanner,,,1178,1178
@@LIB,649,519,1,1169
@latgalescb,649,519,1,1169
@@SPORT,1064,52,14,1130
SkujaVilnis,1039,1,14,1054
AndisAndiszo,922,43,77,1042
JankaPipars,1030,,5,1035
belka_shi,3,843,1,847
sashasuhanov,4,800,16,820
ksenijahramova,1,776,26,803
nicole_an_moroz,2,723,13,738
honeymoonmybae,,714,11,725
plushsnake,1,710,4,715
viktorpavlov10,,713,1,714
AlexanHawk,,708,3,711
OhHeyIts_Sami,3,,672,675
@@GOV,658,,14,672
EricssonEbba,,,662,662
GMeluskans,647,2,11,660
Lupatniece,12,643,1,656
Dziman,,640,2,642
IevaSniedze,629,,4,633
VeikoSpolitis,269,,360,629
Masljakov,2,610,16,628
staskarasev,1,611,1,613
@@EDU,593,,10,603
briesmigi,299,,300,599
whyssorry,,587,8,595
glamur821,,591,1,592
BlackHalt,252,1,336,589
lizardkingyt,2,,557,559
AnnaFomina,1,554,2,557
alamaxx,,551,4,555
Mojito41,448,,91,539
akirstei,524,,3,527
@chaulatv,520,,5,525
SigmaLS8361,478,,36,514
Nepareizais,346,22,132,500
kawai102,2,489,2,493
cathrine___b,,462,30,492
Vinotava,340,,143,483
vitaamiins,459,1,8,468
@@UNI,452,,,452
andrejko_epta,,436,2,438
pulks,377,,59,436
rigo_de_janeiro,,433,1,434
@@COMM,424,,,424
essnooker,2,405,4,411
@lattelecom,409,,,409
konkovochka,,393,5,398
grntal,,386,2,388
Janique_Nikki,,,387,387
@@LSM-RADIO,378,,,378
@klasika_lr3,371,,,371
Dubultamatieri,371,,,371
impro_celo,364,,2,366
BaibaStrautmane,356,,1,357
grantik99,,354,3,357
TusinwRiga,1,344,11,356
feyra_,,346,8,354
surkovaanja,,341,11,352
tonycat83,,,340,340
kr_klavins,329,,4,333
HunnyTunny,2,315,5,322
narkooctopus,,320,1,321
Enkurss,299,,18,317
ksmirnova98,1,311,2,314
JanisIesalnieks,301,,,301
Go4speedLV,297,,,297
armn,243,,53,296
karin4ik170599,1,277,16,294
dylanpuika,115,,178,293
Luize80,,289,3,292
jmslv,219,16,57,292
PhotoSchedule,,,284,284
Nastjuxainlove,,281,1,282
nastya300300,1,275,2,278
riakrisha,1,255,19,275
Nelaquetan,1,260,10,271
@llkc_lv,270,,,270
kakismans,270,,,270
akuna_banana,,269,,269
@@BIZ,244,,9,253
NiPGaming,,,250,250
DanneGames,1,,247,248
HockeyWebCast,,,247,247
Zavileiskis,246,,1,247
@kajbumba,246,,,246
Nagla114,208,8,30,246
likabarry,,242,4,246
@brivibas36,234,,10,244
A3tris,217,,24,241
jankuuns,89,,152,241
inesevoika,216,,18,234
@@CULTURE,233,,,233
LaurisReiniks,176,,57,233
_ayywhatsup_,176,4,53,233
ksykorolj,,224,7,231
