rnum,lv,ru,en,total
1,27826,0,15,27908
2,23545,0,3,23606
3,21221,0,0,21280
4,18501,0,15,18626
5,16430,0,14,16565
6,16226,1,3,16368
7,4,14458,228,15421
8,13789,0,0,13847
9,2,12843,2,13055
10,2,12841,2,13052
11,11698,0,5,11715
12,11553,0,1,11578
13,9784,0,5,9862
14,9804,0,39,9861
15,9535,0,2,9546
16,7347,1,165,9523
17,9018,0,8,9054
18,0,8452,1,8503
19,8386,0,3,8406
20,6168,0,3,6432
21,6396,0,4,6408
22,1,5931,0,6075
23,5915,0,66,6004
24,5748,0,1,5774
25,5633,0,0,5643
26,5608,0,0,5613
27,8,20,3248,4770
28,4362,11,29,4692
29,4410,15,31,4578
30,4434,0,6,4457
31,4409,0,1,4413
32,3854,0,6,3925
33,3815,0,57,3889
34,3725,1,17,3825
35,3524,0,0,3537
36,3506,1,9,3527
37,2510,401,447,3430
38,0,0,3076,3219
39,1785,17,837,3127
40,2987,6,7,3109
41,3058,0,9,3074
42,3008,0,26,3051
43,0,0,2394,3045
44,2949,8,3,3011
45,2867,0,26,2929
46,2711,3,11,2849
47,2832,0,2,2839
48,1892,888,0,2826
49,2638,0,35,2760
50,4,2698,7,2760
51,2289,23,301,2729
52,2642,13,7,2707
53,2576,1,91,2700
54,2625,2,24,2691
55,2011,0,482,2685
56,2680,0,2,2685
57,2664,0,0,2669
58,2640,0,0,2645
59,2531,6,64,2624
60,3,505,2034,2608
61,29,2275,12,2594
62,2543,0,0,2554
63,2472,1,50,2536
64,2451,0,0,2459
65,2301,0,1,2310
66,2231,0,1,2303
67,1925,0,303,2283
68,2179,24,18,2223
69,2194,0,0,2197
70,2150,3,10,2190
71,2149,1,6,2161
72,2023,1,81,2129
73,1940,3,111,2105
74,25,0,2023,2083
75,2054,0,11,2077
76,1482,7,491,2053
77,1967,1,17,2014
78,1103,37,522,2013
79,1912,6,12,2008
80,1873,1,108,1988
81,1977,0,0,1983
82,1851,1,18,1975
83,1952,0,1,1955
84,1894,0,7,1954
85,1784,0,33,1925
86,1686,20,48,1875
87,1514,3,294,1850
88,370,2,1334,1849
89,1784,2,47,1849
90,1777,0,32,1821
91,1797,0,2,1809
92,1720,3,14,1790
93,1757,0,1,1769
94,1207,0,481,1763
95,1666,7,8,1734
96,144,1450,7,1733
97,1661,1,2,1714
98,1626,0,1,1692
99,1640,1,1,1670
100,1645,0,1,1669
101,1542,0,111,1666
102,0,5,1660,1665
103,1647,0,6,1665
104,0,1539,0,1661
105,1630,0,0,1646
106,6,1522,5,1637
107,1382,5,128,1628
108,1616,0,0,1621
109,1570,0,2,1603
110,1558,0,7,1570
111,1534,25,4,1569
112,1540,0,0,1547
113,1520,3,7,1535
114,1343,0,134,1512
115,1379,0,3,1504
116,20,1323,15,1492
117,1466,0,3,1483
118,1385,1,6,1466
119,1428,0,0,1453
120,1419,0,1,1442
121,1409,0,1,1431
122,3,738,6,1423
123,1225,9,20,1412
124,1289,0,10,1394
125,20,0,1306,1384
126,772,142,136,1372
127,863,0,200,1358
128,0,0,1232,1353
129,1333,0,1,1346
130,1,1,1091,1343
131,1323,0,1,1334
132,1,0,371,1326
133,0,0,65,1322
134,685,219,84,1320
135,1234,2,11,1304
136,0,1261,2,1299
137,1186,0,77,1285
138,1257,0,12,1277
139,0,1206,14,1275
140,1254,0,15,1274
141,1265,0,1,1267
142,1,0,823,1265
143,1244,0,9,1256
144,25,0,1171,1253
145,1198,35,13,1248
146,1190,1,32,1245
147,22,826,22,1240
148,1227,0,2,1235
149,1231,0,0,1234
150,1217,1,3,1228
151,0,0,159,1225
152,1030,0,130,1218
153,1052,0,120,1209
154,611,107,16,1208
155,722,1,453,1202
156,1127,1,9,1200
157,1165,1,9,1186
158,123,0,722,1184
159,1145,1,2,1171
160,1106,0,49,1164
161,1151,0,0,1160
162,0,0,38,1157
163,1038,0,93,1148
164,860,0,197,1124
165,1114,0,0,1117
166,1096,1,1,1110
167,1063,0,3,1097
168,822,0,177,1090
169,5,995,12,1089
170,453,9,543,1060
171,1055,0,0,1060
172,878,0,36,1058
173,1027,0,17,1057
174,1024,0,22,1054
175,0,976,1,1052
176,0,2,1050,1052
177,941,0,93,1050
178,993,0,18,1049
179,917,2,111,1049
180,1046,0,0,1049
181,356,673,0,1045
182,868,2,86,1041
183,1027,0,5,1035
184,979,2,24,1020
185,8,734,43,1018
186,944,3,64,1016
187,2,992,5,1011
188,832,0,8,999
189,983,0,7,993
190,2,960,6,992
191,268,7,698,990
192,492,8,228,984
193,980,0,2,984
194,969,1,1,983
195,890,13,9,979
196,739,1,183,967
197,892,4,15,955
198,905,2,27,954
199,943,0,2,954
200,934,0,0,939
201,903,0,3,922
202,908,1,4,917
203,916,0,0,917
204,819,1,70,900
205,871,1,13,896
206,883,0,4,895
207,823,0,17,895
208,860,0,8,877
209,804,0,54,873
210,0,0,34,868
211,849,0,15,866
212,378,0,377,863
213,826,11,21,861
214,829,0,7,849
215,774,0,30,837
216,826,0,1,835
217,828,0,2,833
218,1,801,2,832
219,809,0,8,820
220,787,1,14,814
221,743,27,2,807
222,789,0,6,806
223,749,0,31,799
224,632,0,143,791
225,2,773,2,790
226,695,0,38,789
227,735,0,10,765
228,630,0,107,759
229,751,1,2,757
230,712,0,10,746
231,672,0,13,737
232,0,681,0,736
233,691,0,5,732
234,723,1,2,731
235,716,2,2,727
236,708,0,2,720
237,509,4,196,719
238,709,0,1,718
239,623,2,51,714
240,650,26,20,711
241,681,0,16,710
242,670,0,3,706
243,644,1,23,704
244,592,0,37,702
245,668,0,5,702
246,0,656,6,698
247,688,0,4,695
248,623,18,28,692
249,683,0,2,691
250,668,0,13,690
251,0,606,1,687
252,668,0,6,684
253,676,0,0,681
254,678,0,0,680
255,0,0,545,678
256,677,0,0,678
257,1,661,2,675
258,9,651,0,673
259,668,0,0,670
260,375,0,242,662
261,118,136,6,658
262,652,0,3,657
263,653,0,4,657
264,142,0,496,657
265,645,0,2,654
266,609,2,9,646
267,605,0,7,646
268,604,10,12,645
269,622,0,9,638
270,611,0,13,635
271,589,0,11,633
272,2,0,605,627
273,615,0,1,626
274,0,542,14,623
275,601,0,2,619
276,7,0,607,617
277,600,0,16,617
278,604,0,6,613
279,522,0,75,612
280,504,0,4,611
281,478,0,128,610
282,437,28,45,604
283,492,5,45,601
284,593,0,3,601
285,0,539,3,597
286,578,0,9,596
287,531,1,6,596
288,18,492,15,594
289,555,2,1,592
290,590,0,0,592
291,0,520,1,589
292,583,0,0,589
293,568,0,9,588
294,583,1,0,587
295,566,1,12,586
296,12,517,12,586
297,581,0,0,583
298,562,0,12,580
299,573,0,1,579
300,175,0,393,579
301,554,0,2,576
302,571,0,2,573
303,449,1,84,570
304,566,0,1,569
305,520,0,19,569
306,545,0,1,567
307,558,0,5,566
308,556,0,3,561
309,486,32,33,560
310,459,1,62,556
311,531,0,6,556
312,15,0,508,555
313,544,0,1,554
314,5,413,56,546
315,518,0,1,545
316,542,0,0,544
317,266,4,257,543
318,200,0,332,541
319,530,0,0,532
320,529,0,1,530
321,502,0,8,530
322,9,511,0,530
323,517,1,0,527
324,461,0,53,526
325,445,1,67,523
326,517,0,0,522
327,225,226,6,516
328,465,0,28,513
329,509,1,0,511
330,419,51,9,511
331,509,0,1,510
332,507,0,1,509
333,417,0,64,509
334,2,90,0,508
335,1,424,19,507
336,333,0,165,504
337,0,433,6,504
338,6,486,0,503
339,1,450,7,503
340,218,1,271,501
341,487,0,0,499
342,491,0,2,499
343,129,77,20,498
344,488,0,3,498
345,490,0,1,498
346,448,0,18,493
347,472,0,12,492
348,73,0,330,491
349,478,0,7,490
350,483,0,3,489
351,483,0,1,488
352,469,3,6,485
353,1,0,11,485
354,451,0,19,482
355,478,0,0,479
356,472,0,2,477
357,416,0,8,476
358,474,0,0,475
359,269,0,154,475
360,335,0,124,474
361,460,0,4,474
362,50,0,19,472
363,31,0,427,470
364,457,0,3,468
365,382,0,38,467
366,185,0,232,465
367,451,0,7,465
368,1,417,8,463
369,451,2,5,463
370,447,0,7,461
371,445,0,6,460
372,424,0,4,460
373,435,0,8,458
374,2,279,22,456
375,445,0,0,454
376,355,4,71,453
377,452,0,1,453
378,48,0,384,453
379,428,5,3,453
380,447,0,1,449
381,418,0,27,449
382,377,0,54,444
383,421,0,10,442
384,370,37,6,441
385,377,11,36,440
386,0,430,0,439
387,2,372,6,438
388,2,358,7,437
389,2,358,10,436
390,403,0,28,435
391,434,0,1,435
392,425,1,6,433
393,423,0,3,429
394,0,389,2,428
395,410,0,13,427
396,401,0,11,426
397,414,2,0,426
398,9,0,390,426
399,420,0,3,425
400,401,0,14,424
401,411,0,3,423
402,366,1,1,423
403,317,1,37,422
404,417,2,2,421
405,349,18,18,420
406,400,1,4,416
407,19,0,372,415
408,390,0,3,415
409,0,380,9,412
410,358,3,34,412
411,53,0,334,412
412,2,0,358,409
413,405,0,0,409
414,2,0,345,408
415,398,1,0,408
416,356,13,20,407
417,407,0,0,407
418,390,0,12,407
419,399,0,3,407
420,319,0,4,406
421,397,1,5,406
422,404,0,1,406
423,396,0,4,403
424,364,7,13,402
425,72,125,81,401
426,386,0,8,401
427,379,0,19,400
428,400,0,0,400
429,6,133,6,398
430,374,1,4,398
431,383,0,12,397
432,1,372,6,397
433,91,0,289,397
434,369,0,2,396
435,387,0,2,396
436,385,0,0,396
437,393,0,0,395
438,390,0,0,394
439,392,0,0,394
440,2,376,4,391
441,357,0,25,390
442,307,0,49,390
443,0,339,11,389
444,362,0,22,388
445,381,0,0,386
446,365,0,8,385
447,364,3,4,385
448,0,0,321,377
449,365,0,7,376
450,345,0,22,372
451,3,1,300,371
452,360,0,2,370
453,346,0,11,369
454,240,4,11,369
455,45,0,303,368
456,342,0,13,367
457,359,0,4,365
458,339,0,5,365
459,364,0,0,364
460,330,0,19,363
461,357,1,0,362
462,358,0,0,361
463,0,308,5,359
464,8,231,97,358
465,324,14,9,357
466,346,0,3,357
467,337,0,0,355
468,354,0,0,355
469,342,0,2,353
470,322,0,19,351
471,293,4,27,350
472,346,0,0,350
473,0,331,1,349
474,226,0,67,347
475,284,3,16,346
476,0,317,11,346
477,242,0,67,346
478,306,0,3,344
479,343,0,0,344
480,0,85,191,342
481,303,0,27,341
482,0,0,19,341
483,331,0,5,340
484,274,0,43,339
485,320,0,7,339
486,336,0,2,338
487,325,0,8,338
488,333,0,1,337
489,304,0,6,336
490,102,0,218,336
491,0,329,1,336
492,316,0,0,335
493,298,0,18,335
494,0,0,325,334
495,327,0,1,334
496,277,0,40,334
497,323,1,6,333
498,318,0,8,333
499,325,0,1,332
500,328,0,4,332
501,309,0,21,332
502,328,0,2,331
503,314,0,16,331
504,308,0,21,331
505,306,0,19,330
506,35,1,260,329
507,284,1,38,329
508,143,1,137,325
509,325,0,0,325
510,321,0,0,325
511,249,0,64,325
512,266,3,39,324
513,313,0,0,322
514,319,2,0,321
515,15,0,303,320
516,276,0,1,320
517,286,8,8,317
518,263,1,47,317
519,245,0,45,316
520,0,60,187,316
521,313,0,0,314
522,299,0,0,314
523,309,0,1,313
524,296,0,5,313
525,0,262,8,313
526,278,0,23,312
527,294,0,16,312
528,265,0,37,312
529,109,18,55,311
530,307,0,4,311
531,295,0,1,310
532,47,183,14,309
533,307,0,1,309
534,223,0,68,308
535,299,0,1,308
536,302,0,2,308
537,306,0,0,307
538,2,283,4,307
539,3,233,61,305
540,298,0,3,304
541,290,0,0,303
542,0,0,257,301
543,299,0,1,301
544,299,0,0,301
545,273,0,16,297
546,264,0,27,296
547,292,0,1,295
548,3,1,236,295
549,293,0,1,295
550,280,1,9,294
551,289,0,3,294
552,281,0,11,294
553,278,0,4,294
554,292,0,0,293
555,285,0,4,293
556,285,0,1,292
557,0,0,242,291
558,285,0,1,291
559,289,0,0,291
560,268,0,4,291
561,290,0,0,290
562,280,3,4,288
563,281,0,3,287
