source_pretty,total_count,total_share,lang,source_lang_count,source_count,tracked_source_lang_count,tracked_source_count,source_lang_share,other_lang_count,other_lang_share,tracked_source_share,tracked_source_lang_share
Twitter Web Client,456756,  34.1%,en,37764,431829,10578,239656,   8.3%,24927,   5.5%,  52.5%,  28.0%
Twitter Web Client,456756,  34.1%,lv,379874,431829,226004,239656,  83.2%,24927,   5.5%,  52.5%,  59.5%
Twitter Web Client,456756,  34.1%,ru,14191,431829,3074,239656,   3.1%,24927,   5.5%,  52.5%,  21.7%
Twitter for Android,223163,  16.6%,en,33798,206441,2199,18573,  15.1%,16722,   7.5%,   8.3%,   6.5%
Twitter for Android,223163,  16.6%,lv,150597,206441,16337,18573,  67.5%,16722,   7.5%,   8.3%,  10.8%
Twitter for Android,223163,  16.6%,ru,22046,206441,37,18573,   9.9%,16722,   7.5%,   8.3%,   0.2%
Twitter for iPhone,202459,  15.1%,en,31048,185379,2584,28267,  15.3%,17080,   8.4%,  14.0%,   8.3%
Twitter for iPhone,202459,  15.1%,lv,120950,185379,25550,28267,  59.7%,17080,   8.4%,  14.0%,  21.1%
Twitter for iPhone,202459,  15.1%,ru,33381,185379,133,28267,  16.5%,17080,   8.4%,  14.0%,   0.4%
TweetDeck,102685,   7.7%,en,1427,102155,718,94174,   1.4%,530,   0.5%,  91.7%,  50.3%
TweetDeck,102685,   7.7%,lv,100654,102155,93421,94174,  98.0%,530,   0.5%,  91.7%,  92.8%
TweetDeck,102685,   7.7%,ru,74,102155,35,94174,   0.1%,530,   0.5%,  91.7%,  47.3%
TVNET Login,56604,   4.2%,en,22,55957,22,54721,   0.0%,647,   1.1%,  96.7%, 100.0%
TVNET Login,56604,   4.2%,lv,25791,55957,24555,54721,  45.6%,647,   1.1%,  96.7%,  95.2%
TVNET Login,56604,   4.2%,ru,30144,55957,30144,54721,  53.3%,647,   1.1%,  96.7%, 100.0%
dlvr.it,44568,   3.3%,en,128,44305,15,43869,   0.3%,263,   0.6%,  98.4%,  11.7%
dlvr.it,44568,   3.3%,lv,44045,44305,43854,43869,  98.8%,263,   0.6%,  98.4%,  99.6%
dlvr.it,44568,   3.3%,ru,132,44305,0,43869,   0.3%,263,   0.6%,  98.4%,   0.0%
Facebook,35606,   2.7%,en,448,34317,428,33846,   1.3%,1289,   3.6%,  95.1%,  95.5%
Facebook,35606,   2.7%,lv,13455,34317,13006,33846,  37.8%,1289,   3.6%,  95.1%,  96.7%
Facebook,35606,   2.7%,ru,20414,34317,20412,33846,  57.3%,1289,   3.6%,  95.1%, 100.0%
Foursquare,30202,   2.3%,en,1855,25988,0,0,   6.1%,4214,  14.0%,   0.0%,   0.0%
Foursquare,30202,   2.3%,lv,23915,25988,0,0,  79.2%,4214,  14.0%,   0.0%,   0.0%
Foursquare,30202,   2.3%,ru,218,25988,0,0,   0.7%,4214,  14.0%,   0.0%,   0.0%
Instagram,24341,   1.8%,en,8044,19179,8,423,  33.0%,5162,  21.2%,   1.7%,   0.1%
Instagram,24341,   1.8%,lv,8719,19179,414,423,  35.8%,5162,  21.2%,   1.7%,   4.7%
Instagram,24341,   1.8%,ru,2416,19179,1,423,   9.9%,5162,  21.2%,   1.7%,   0.0%
SKATIES,22347,   1.7%,lv,22331,22331,21913,21913,  99.9%,16,   0.1%,  98.1%,  98.1%
