day,topic_id,tweets_total,tweets_lv_ru_en,tweets_lv,tweets_ru,tweets_en,users_lv,users_ru,users_en
2017-04-15 00:00:00,LV001,72,71,0.90,0.06,0.04,0.83,0.07,0.10
2017-04-16 00:00:00,LV001,70,70,0.97,0.01,0.01,0.94,0.03,0.03
2017-04-17 00:00:00,LV001,64,60,0.85,0.15,0.00,0.81,0.15,0.05
2017-04-18 00:00:00,LV001,31,31,0.90,0.10,0.00,0.90,0.09,0.01
2017-04-19 00:00:00,LV001,19,19,0.68,0.11,0.21,0.83,0.11,0.07
2017-04-20 00:00:00,LV001,31,27,0.78,0.07,0.15,0.85,0.06,0.09
2017-04-21 00:00:00,LV001,35,35,0.91,0.09,0.00,0.88,0.11,0.01
2017-04-22 00:00:00,LV001,25,25,0.60,0.20,0.20,0.72,0.23,0.06
2017-04-23 00:00:00,LV001,3,3,0.67,0.33,0.00,0.67,0.33,0.00
2017-04-24 00:00:00,LV001,29,29,0.93,0.07,0.00,0.91,0.07,0.02
2017-04-25 00:00:00,LV001,24,24,0.92,0.08,0.00,0.88,0.08,0.04
2017-04-26 00:00:00,LV001,34,34,1.00,0.00,0.00,0.96,0.00,0.04
2017-04-27 00:00:00,LV001,1,1,1.00,0.00,0.00,1.00,0.00,0.00
2017-04-28 00:00:00,LV001,20,20,0.90,0.10,0.00,0.82,0.13,0.05
2017-04-29 00:00:00,LV001,25,25,0.96,0.04,0.00,0.90,0.07,0.03
2017-04-30 00:00:00,LV001,4,4,1.00,0.00,0.00,0.97,0.00,0.03
2017-05-01 00:00:00,LV001,30,27,0.89,0.11,0.00,0.86,0.10,0.04
2017-05-02 00:00:00,LV001,3,3,0.33,0.67,0.00,0.33,0.67,0.00
2017-05-03 00:00:00,LV001,20,20,0.85,0.15,0.00,0.83,0.15,0.02
2017-05-04 00:00:00,LV001,6,6,1.00,0.00,0.00,0.98,0.00,0.02
2017-05-05 00:00:00,LV001,12,12,0.75,0.25,0.00,0.75,0.25,0.00
2017-05-06 00:00:00,LV001,6,6,0.67,0.33,0.00,0.64,0.33,0.03
2017-05-07 00:00:00,LV001,6,6,1.00,0.00,0.00,0.99,0.00,0.01
2017-05-08 00:00:00,LV001,58,58,0.98,0.02,0.00,0.97,0.02,0.02
2017-05-09 00:00:00,LV001,146,144,0.94,0.02,0.03,0.94,0.02,0.04
2017-05-10 00:00:00,LV001,125,125,0.82,0.11,0.06,0.79,0.11,0.10
2017-05-11 00:00:00,LV001,8,8,0.87,0.00,0.12,0.96,0.00,0.04
2017-05-12 00:00:00,LV001,6,5,0.00,0.80,0.20,0.18,0.67,0.15
2017-05-13 00:00:00,LV001,1,1,1.00,0.00,0.00,0.74,0.00,0.26
2017-05-16 00:00:00,LV001,4,4,1.00,0.00,0.00,0.99,0.00,0.01
2017-05-18 00:00:00,LV001,1,1,0.00,1.00,0.00,0.09,0.91,0.00
2017-05-19 00:00:00,LV001,6,6,0.50,0.50,0.00,0.49,0.49,0.02
2017-05-20 00:00:00,LV001,1,1,1.00,0.00,0.00,0.84,0.00,0.16
2017-05-21 00:00:00,LV001,5,5,1.00,0.00,0.00,0.98,0.00,0.02
2017-05-23 00:00:00,LV001,1,1,1.00,0.00,0.00,0.87,0.00,0.13
2017-05-24 00:00:00,LV001,2,2,1.00,0.00,0.00,0.99,0.00,0.01
2017-05-25 00:00:00,LV001,1,1,1.00,0.00,0.00,0.99,0.00,0.01
2017-05-27 00:00:00,LV001,11,11,1.00,0.00,0.00,0.98,0.00,0.02
2017-05-28 00:00:00,LV001,24,24,0.87,0.12,0.00,0.85,0.12,0.03
2017-05-29 00:00:00,LV001,4,4,0.50,0.50,0.00,0.48,0.50,0.02
2017-05-30 00:00:00,LV001,1,1,0.00,1.00,0.00,0.02,0.95,0.02
2017-06-01 00:00:00,LV001,14,14,0.86,0.14,0.00,0.83,0.14,0.02
2017-06-02 00:00:00,LV001,7,7,0.86,0.14,0.00,0.86,0.13,0.01
2017-06-03 00:00:00,LV001,4,4,1.00,0.00,0.00,0.93,0.00,0.07
2017-06-06 00:00:00,LV001,1,1,1.00,0.00,0.00,1.00,0.00,0.00
2017-06-07 00:00:00,LV001,1,1,1.00,0.00,0.00,0.99,0.00,0.01
2017-06-08 00:00:00,LV001,1,1,1.00,0.00,0.00,0.98,0.00,0.02
2017-06-10 00:00:00,LV001,1,1,0.00,1.00,0.00,0.01,0.98,0.00
2017-06-12 00:00:00,LV001,4,4,0.50,0.50,0.00,0.45,0.50,0.05
2017-06-15 00:00:00,LV001,1,1,0.00,1.00,0.00,0.00,0.99,0.00
2017-06-16 00:00:00,LV001,2,2,1.00,0.00,0.00,1.00,0.00,0.00
2017-06-18 00:00:00,LV001,1,1,1.00,0.00,0.00,0.60,0.00,0.40
2017-06-19 00:00:00,LV001,2,2,1.00,0.00,0.00,1.00,0.00,0.00
